tmy_id,city,state,utc_offset,latitude,longitude,elevation,db_temp_avg,rh_avg,wind_spd_avg,heating_design_temp,url
700197,SELAWIK,AK,-9.0,66.6,-160.0,26.24672,24.855438356164385,78.15867579908675,9.65530718630137,-36.6,v01/tmy3/700197
700260,BARROW W POST-W ROGERS ARPT [NSA - ARM],AK,-9.0,71.32,-156.62,32.8084,10.729712328767121,84.1939497716895,12.178733828538814,-34.3,v01/tmy3/700260
700637,DEADHORSE,AK,-9.0,70.2,-148.483,75.45932,14.890157534246576,81.88127853881278,11.84214585890411,-41.3,v01/tmy3/700637
701043,POINT HOPE (AWOS),AK,-9.0,68.35,-166.8,13.12336,24.074965753424657,77.38892694063927,15.689120870319638,-24.1,v01/tmy3/701043
701195,SHISHMAREF (AWOS),AK,-9.0,66.267,-166.05,6.56168,25.30913698630137,78.23127853881279,13.223660595662102,-26.2,v01/tmy3/701195
701330,KOTZEBUE RALPH WEIN MEMORIAL,AK,-9.0,66.883,-162.6,9.84252,23.303883561643833,79.72066210045662,12.160118197716898,-31.0,v01/tmy3/701330
701625,ANAKTUVUK PASS,AK,-9.0,68.133,-151.733,2155.51188,20.373089041095888,70.69098173515982,8.641866115753425,-33.4,v01/tmy3/701625
701718,AMBLER,AK,-9.0,67.1,-157.85,288.71392,26.395527397260274,68.72271689497717,6.285546041552513,-36.5,v01/tmy3/701718
701740,BETTLES FIELD,AK,-9.0,66.917,-151.517,643.04464,24.438294520547945,68.91187214611872,6.881705873059362,-44.9,v01/tmy3/701740
701780,TANANA RALPH M CALHOUN MEM AP,AK,-9.0,65.167,-152.1,232.93964,28.251232876712326,69.60776255707762,5.766198031050228,-42.2,v01/tmy3/701780
701940,FORT YUKON,AK,-9.0,66.567,-145.267,446.19424,23.940828767123293,64.43972602739726,5.384386080365297,-50.7,v01/tmy3/701940
702000,NOME MUNICIPAL ARPT,AK,-9.0,64.517,-165.45,13.12336,28.72007534246575,73.32488584474886,9.88152923493151,-24.6,v01/tmy3/702000
702005,SAINT MARY`S (AWOS),AK,-9.0,62.067,-163.3,311.6798,32.96659589041096,77.15490867579909,12.054093370319636,-18.4,v01/tmy3/702005
702035,SAVOONGA,AK,-9.0,63.683,-170.5,55.77428,29.114020547945206,71.92808219178082,13.17384016255708,-17.8,v01/tmy3/702035
702040,GAMBELL,AK,-9.0,63.783,-171.75,26.24672,28.44317123287671,75.72990867579908,19.409106125799088,-11.4,v01/tmy3/702040
702070,UNALAKLEET FIELD,AK,-9.0,63.883,-160.8,16.4042,31.364143835616442,68.7568493150685,12.394358501598175,-25.2,v01/tmy3/702070
702075,ANVIK,AK,-9.0,62.65,-160.183,324.80316,33.33173287671233,62.51883561643836,5.397996685616439,-20.2,v01/tmy3/702075
702084,EMMONAK,AK,-9.0,62.783,-164.5,13.12336,32.57686301369863,79.60148401826484,10.47697406278539,-19.6,v01/tmy3/702084
702185,MEKORYUK,AK,-9.0,60.367,-166.267,49.2126,33.63232876712328,80.20981735159818,14.999576454566213,-10.6,v01/tmy3/702185
702186,HOOPER BAY,AK,-9.0,61.517,-166.15,19.68504,32.34781506849315,77.9277397260274,15.09107138630137,-11.3,v01/tmy3/702186
702190,BETHEL AIRPORT,AK,-9.0,60.783,-161.833,124.67192,32.01551369863014,81.11324200913242,13.427998425342468,-22.6,v01/tmy3/702190
702225,HUSLIA,AK,-9.0,65.7,-156.383,180.4462,28.16115068493151,67.17031963470319,6.172217962557078,-40.1,v01/tmy3/702225
702310,MCGRATH ARPT,AK,-9.0,62.95,-155.6,344.4882,27.04145205479452,72.5054794520548,5.441279942465753,-41.6,v01/tmy3/702310
